S	V	G	A	gardon
 Manc	0.08	-0.11	-0.65	0
 Manc	-0.32	-0.77	-1.23	0
 Manc	-0.65	-0.92	-0.6	0
 Manc	-0.97	0.23	-1.08	0
 Manc	-0.4	-0.82	-0.31	0
 Manc	-0.74	0.95	-1.53	0
 Manc	0	1.91	-0.36	1
 Manc	-0.4	0.98	-1.23	1
 Manc	-0.8	0.89	-1.47	1
 Manc	0.24	1.74	-1.9	1
 Manc	-0.41	0	-1.81	0
 Manc	-0.62	-0.38	-1.7	0
 Manc	-0.49	-0.06	-1.93	1
 Manc	0.39	-0.73	-0.13	0
 Manc	0.24	-0.75	-2.12	0
 Manc	0.36	-1.12	0.19	0
 Manc	0	-0.59	-1.33	0
 Manc	0.73	-0.69	-1.25	0
 Manc	0.06	0.57	-0.56	0
 Manc	-0.09	-0.88	-2.12	0
 Manc	0.41	-0.99	0.19	0
 Manc	0.44	-0.68	-0.34	0
 Manc	0.66	-1.07	0.02	0
 Manc	-0.23	-0.35	-1.84	0
 Manc	0.27	-0.47	-1.53	0
 Manc	0.31	-1.06	-1.17	0
 Manc	0.31	-1.08	-1.03	0
 Manc	0.03	0.07	-0.79	0
 Manc	0.27	0.27	-0.96	0
 Manc	0.36	-0.84	-0.96	0
 Manc	-0.35	0.42	-1.6	0
 Manc	0.2	-0.56	-1.33	0
 Manc	0.94	0.07	-0.79	0
 Manc	0.03	0.11	-1.25	0
 Manc	0	-1.13	-0.03	0
 Manc	1.35	-0.28	-0.44	0
 Manc	0.7	-0.17	-1.32	1
 Manc	-0.27	-0.41	-1.33	0
 Manc	0.31	-0.6	-0.03	0
 Manc	-0.21	-0.88	0.19	0
 Manc	0.08	-0.07	0.02	0
 Manc	0.34	-0.97	-0.25	0
 Manc	0.7	-0.84	0.06	0
 Manc	1.07	-0.6	0.11	0
 Manc	-0.78	0.15	0.08	0
 Manc	0.57	-0.02	-0.36	0
 Manc	0.59	-0.55	-0.13	0
 Manc	0.32	-1.92	-1.07	0
 Manc	-0.34	0.81	-0.96	1
 Manc	0.15	-0.77	-0.28	0
 Manc	-1.28	-0.05	-1.1	0
 Manc	1	0.04	-0.49	0
 Manc	0.52	-1.08	-0.01	0
 Manc	0.09	0.09	-1.39	0
 Manc	0.38	-0.3	-0.41	0
 Manc	-0.13	-0.24	-0.39	0
 Manc	-0.16	-0.5	-1.43	0
 Manc	0.16	-0.58	-0.13	0
 Manc	-0.85	0.6	-0.81	1
 Manc	0.41	-1.92	-0.74	0
 Manc	0.64	-0.87	-0.69	0
 Manc	-0.43	0.45	-0.73	0
 Manc	0.11	-1.43	-0.37	0
 Manc	0.74	-0.56	-0.6	0
 Manc	0.25	-1.03	-0.85	0
 Manc	0.39	-0.01	-0.87	0
 Manc	0.95	-0.96	-0.96	0
 Manc	0.45	-0.75	-0.44	0
 Manc	0.61	-0.81	-1.65	0
 Manc	0.52	-1.23	-0.21	0
Atla	-1.86	1.08	-2.56	0
Atla	-0.69	0.94	-1.56	1
Atla	-1.36	0.56	-1.35	1
Atla	-0.28	1.06	-1.18	1
Atla	-0.92	0.38	-1.05	1
Atla	-0.98	1.29	-1.58	1
Atla	-1.73	1.39	-1.84	1
Atla	-1.58	0.42	-1.03	0
Atla	-1.05	0.82	-1.78	1
Atla	-1.46	0.59	-1.11	0
Atla	-0.12	0.64	-2.5	1
Atla	-0.78	-0.11	-1.15	0
Atla	-0.72	0.53	-2.12	1
Atla	-0.33	0.1	-1.33	0
Atla	-1.02	1.46	-1.1	1
Atla	-0.11	-0.24	-0.6	0
Atla	-0.48	0.29	-0.67	0
Atla	-0.74	0.99	-2.12	1
Atla	1.68	-0.32	1.43	0
Atla	-0.95	0.56	-0.56	0
Atla	-0.88	0.37	-0.48	0
Atla	0.14	0.45	-0.85	0
Atla	-0.11	0.24	-0.08	1
Atla	-0.28	1.48	-1.1	1
Atla	0.66	-0.28	0.62	0
Atla	1.24	0.58	-0.32	0
Atla	1.89	0.15	0.92	0
Atla	0.54	0.83	0.4	0
Atla	0.52	0.96	0.35	0
Atla	0.48	1.1	-1.22	0
Atla	0.31	0.78	-0.23	0
Atla	0.36	0.58	0.86	0
Atla	1.81	-0.17	1.44	0
Atla	-0.82	-0.51	-0.24	0
Atla	-1.19	0.58	-1.08	1
Atla	-0.7	0.77	-1.12	0
Atla	-0.07	0.48	-1.04	0
Atla	0.79	-0.23	-0.37	0
Atla	-0.67	0.38	-0.63	0
Atla	-0.87	0.24	-1.05	0
Atla	0.43	-0.09	-0.59	1
Atla	0.37	0.21	-0.91	0
Atla	-0.76	-0.57	-0.29	0
Atla	-1.08	0.38	-1.33	1
Atla	0.89	-1.82	-0.43	0
Atla	1.03	-1.43	-0.93	0
Atla	-0.16	0.36	-0.66	0
Atla	-0.7	-0.52	-0.23	1
Atla	-0.49	-0.99	-0.06	0
Atla	0.15	0.08	-0.48	0
Atla	1.12	0.29	-0.31	0
Atla	-1.35	0.44	-0.08	1
Atla	-0.19	0.51	-0.9	1
Atla	-0.43	-0.1	-1.97	0
Atla	-0.81	0.32	-1.14	1
Atla	-1.04	-0.65	-1.37	0
Loir	1.02	0.91	1.29	0
Loir	0.7	-0.11	1.24	0
Loir	-0.03	-0.32	1.5	0
Loir	0.19	-0.75	1.64	0
Loir	-0.06	0.1	1.49	0
Loir	0.8	0.75	0.78	0
Loir	0.08	0.87	0.65	0
Loir	-0.3	1	0.36	0
Loir	1.45	-2.09	1.44	0
Loir	0.93	-0.05	0.95	0
Loir	0.76	-0.83	1.73	0
Loir	0.49	-1.55	1.28	0
Loir	0.93	0.19	1.36	0
Loir	0.71	-1.02	1.51	0
Loir	0.95	-0.55	1.43	0
Loir	0.27	0.46	1.35	0
Loir	0.1	-1.27	1.73	0
Loir	0.05	-0.48	1.62	0
Loir	-0.38	1.57	0.87	0
Loir	-0.67	1.11	0.78	0
Loir	0.95	0.11	1.43	0
